value,x,y,z
-223.68167000000003,0.0,0.5,9.5
-223.661705,0.0,0.5,10.0
-223.6576875,0.0,0.5,10.5
-223.65367,0.0,0.5,11.0
-223.65323999999998,0.0,0.5,11.5
-223.65281,0.0,0.5,12.0
-223.4336325,0.0,0.5,12.5
-223.214455,0.0,0.5,13.0
-223.42584,0.0,0.5,13.5
-223.637225,0.0,0.5,14.0
-223.63287,0.0,0.5,14.5
-223.628515,0.0,0.5,15.0
-223.62541249999998,0.0,0.5,15.5
-223.62231,0.0,0.5,16.0
-223.62075500000003,0.0,0.5,16.5
-223.6192,0.0,0.5,17.0
-223.6194275,0.0,0.5,17.5
-223.619655,0.0,0.5,18.0
-223.621635,0.0,0.5,18.5
-223.623615,0.0,0.5,19.0
-215.77558,0.0,1.0,0.0
-213.436005,0.0,1.0,0.5
-211.09643,0.0,1.0,1.0
-206.26476,0.0,1.0,1.5
-201.43309,0.0,1.0,2.0
-205.46678500000002,0.0,1.0,2.5
-209.50048,0.0,1.0,3.0
-215.61406,0.0,1.0,3.5
-221.72764,0.0,1.0,4.0
-223.57075,0.0,1.0,4.5
-225.41386,0.0,1.0,5.0
-225.328145,0.0,1.0,5.5
-225.24243,0.0,1.0,6.0
-224.82327,0.0,1.0,6.5
-224.40411,0.0,1.0,7.0
-224.128815,0.0,1.0,7.5
-223.85352,0.0,1.0,8.0
-223.76938,0.0,1.0,8.5
-223.68524,0.0,1.0,9.0
-223.67139,0.0,1.0,9.5
-223.65754,0.0,1.0,10.0
-223.654675,0.0,1.0,10.5
-223.65181,0.0,1.0,11.0
-223.648725,0.0,1.0,11.5
-223.64564,0.0,1.0,12.0
-223.212585,0.0,1.0,12.5
-222.77953,0.0,1.0,13.0
-223.207805,0.0,1.0,13.5
-223.63608,0.0,1.0,14.0
-223.631935,0.0,1.0,14.5
-223.62779,0.0,1.0,15.0
-223.624785,0.0,1.0,15.5
-223.62178,0.0,1.0,16.0
-223.62032,0.0,1.0,16.5
-223.61886,0.0,1.0,17.0
-223.619135,0.0,1.0,17.5
-223.61941,0.0,1.0,18.0
-223.62141,0.0,1.0,18.5
-223.62341,0.0,1.0,19.0
-205.022825,0.0,1.5,0.0
-208.79994,0.0,1.5,0.5
-212.577055,0.0,1.5,1.0
-211.9114425,0.0,1.5,1.5
-211.24583,0.0,1.5,2.0
-213.94794000000002,0.0,1.5,2.5
-216.65005000000002,0.0,1.5,3.0
-220.021115,0.0,1.5,3.5
-223.39218,0.0,1.5,4.0
-224.3244275,0.0,1.5,4.5
-225.256675,0.0,1.5,5.0
-225.0749525,0.0,1.5,5.5
-224.89323000000002,0.0,1.5,6.0
-224.5459475,0.0,1.5,6.5
-224.198665,0.0,1.5,7.0
-223.9938525,0.0,1.5,7.5
-223.78904,0.0,1.5,8.0
-223.7313425,0.0,1.5,8.5
-223.673645,0.0,1.5,9.0
-223.664695,0.0,1.5,9.5
-223.65574500000002,0.0,1.5,10.0
-223.6533975,0.0,1.5,10.5
